,國文,英文,數學,社會,自然
0,15,7,6,12,7
1,7,12,9,11,7
2,12,10,12,10,8
3,13,13,9,8,6
4,13,7,9,14,14
5,10,9,9,6,9
6,11,15,9,11,14
7,15,12,14,14,8
8,15,15,13,14,9
9,12,7,9,6,11
10,11,7,11,11,10
11,15,11,14,14,8
12,10,15,6,9,15
13,13,8,14,10,12
14,10,12,7,12,12
15,7,12,11,8,8
16,9,13,14,6,14
17,14,15,14,10,9
18,11,7,14,7,13
19,11,12,11,13,12
20,15,12,14,12,8
21,14,15,11,8,12
22,12,9,8,9,7
23,13,14,9,8,13
24,15,9,12,8,15
25,14,6,13,6,9
26,12,13,11,10,13
27,6,12,6,13,12
28,8,6,11,13,7
29,7,8,13,11,10
30,10,7,7,7,13
31,9,7,15,13,15
32,10,14,15,7,6
33,12,14,7,12,7
34,12,14,7,10,7
35,6,6,8,9,13
36,12,11,10,9,7
37,14,15,14,13,10
38,7,9,13,11,13
39,7,7,10,8,7
40,8,6,6,12,6
41,14,11,6,9,13
42,8,6,6,6,9
43,14,10,15,13,6
44,15,11,9,6,8
45,15,12,12,10,11
46,9,15,12,12,12
47,14,6,14,10,14
48,8,6,9,9,8
49,11,13,8,11,11
50,10,8,8,12,11
51,13,6,8,6,13
52,8,10,15,6,9
53,11,9,7,14,8
54,11,13,14,13,15
55,9,7,9,9,9
56,14,7,7,7,7
57,8,7,9,11,9
58,13,11,15,11,11
59,13,11,13,6,12
60,13,8,12,8,14
61,11,10,12,10,11
62,15,9,15,6,14
63,10,11,8,11,7
64,14,13,13,10,9
65,8,11,10,9,8
66,11,14,6,9,9
67,13,15,8,12,8
68,6,7,8,14,14
69,13,12,6,9,9
70,13,6,9,9,15
71,9,14,14,6,12
72,9,10,13,8,15
73,10,14,11,15,7
74,13,7,15,6,15
75,9,12,13,10,13
76,8,8,12,14,10
77,10,9,12,15,6
78,6,12,13,15,7
79,6,10,11,6,9
80,11,14,7,8,13
81,7,6,14,9,9
82,14,7,7,10,12
83,14,14,10,6,11
84,15,10,7,15,11
85,9,13,11,11,7
86,9,6,10,8,6
87,7,9,9,12,6
88,6,15,14,15,14
89,12,15,10,13,7
90,7,13,11,7,11
91,11,14,15,14,13
92,11,8,12,9,10
93,8,8,8,15,12
94,11,6,11,7,6
95,6,6,9,14,14
96,7,10,13,10,11
97,13,7,9,9,15
98,14,15,7,10,14
99,13,13,13,12,7
